Art.-Nummer;Lokbezeichnung (sprechender Name, z.B. Glaskasten, plus m÷glichst vollst„ndige Betriebsnummer): 28-33 Zeichen auf CS2 sichtbar,(auf MS2 Auswahl m.NameDisplay);"Name Display MS+CS(MS2: 11-14,CS2:15 Buchst;auch klein+Umlaut)";Loktyp (Elok (E), Diesel (D), Dampf (S), kein (N));"NICHT PRGM:D=Delta (0 Fkt), M=Digital C90(<=1+4Fkt),M8=2 MotorolaDec;PRGM-BAR: LP=Zieco šberg.Dec oh.Snd, L3=šberg.Dec m.Snd, X3=Sp1-šberg.Dec m.Snd";Motorola Adresse;Symbol F0;Sym bol F1;Sym bol F2;Sym bol F3;Sym bol F4;Sym bol F5;Sym bol F6;Sym bol F7;Sym bol F8
3615;BR 50.3143;BR 50 3143;S;M;6;L+R;/;/;/;/;/;/;/;/
36159;Krokodil CCS braun;KROKODIL;E;M;68;L;/;/;/;/;/;/;/;/
3618;BR 18.434;BR 18 434;S;M;9;L+R;/;/;/;/;/;/;/;/
36216;BR 216, orientrot, Diesellokomotiv;BR 216;D;LP;72;L;/;/;/;K;/;/;/;/
3623;Re 4/4 SBB;RE 4/4 IV;E;M;44;L;/;/;/;/;/;/;/;/
3624;Micheline, Lok auf Gummi-Reifen;MICHELINE;D;M;62;L;/;/;/;/;/;/;/;/
36240;BR 24 DB (Wagner);BR 24;S;LP;78;L;/;/;/;K;/;/;/;/
36241;BR 24 Witte Schlepptender-Lokomotive;BR 24 026;S;LP;78;L;/;/;/;K;/;/;/;/
3625;BB 7298 SNCF;BB 7298;E;M;72;L;/;/;/;/;/;/;/;/
3628;E 91.9;E 91 102;E;M;28;L;/;/;/;/;/;/;/;/
3629;BR 191.099-1;BR 191 099-1;E;M;19;L;/;/;/;/;/;/;/;/
3630;Re 4/4;RE 4/4 IV;E;M;45;L;/;/;/;/;/;/;/;/
3631;BR 361.838-6;BR 361 838-6;D;M;61;H;/;/;/;/;/;/;/;/
36320;BR 81, DB, Ep.III;BR 81;S;LP;78;L;/;/;/;K;/;/;/;/
36321;BR 81 Tenderlok,Ep.III,DB;BR 81 006;S;LP;78;L;/;/;/;K;/;/;/;/
36330;Ee 3/3 SBB;EE 3/3;E;LP;33;L;/;/;/;K;/;/;/;/
3634;BB 26006 SNCF, Sybic;BB 26006;E;M;26;L;/;/;/;/;/;/;/;/
3636;Ae 6/6 11425 rot;AE 6/6 11425;E;M;66;L;/;/;/;/;/;/;/;/
3638;Ae 6/6 11414 grn;AE 6/6 11414;E;M;38;L;/;/;/;/;/;/;/;/
3640;BR 110;BR 110;E;M;11;L;/;/;/;/;/;/;/;/
3642;BR 111.058-4;BR 111 058-4;E;M;11;L;/;/;/;/;/;/;/;/
36420;BR 232 'Ludmilla' DB Cargo;BR 232;D;LP;24;L;/;/;/;K;/;/;/;/
36421;BR 132 'Ludmilla' DR;BR 132;D;LP;24;L;/;/;/;K;/;/;/;/
36422;BR 232 Railion Niederlande Diesellokomotive;RN 232 904-3;D;LP;24;L;/;/;/;K;/;/;/;/
36423;BR 234, mintgrn, Diesellokomotive;BR 234 304-4;D;LP;24;L;/;/;/;K;/;/;/;/
3646;BR 236 (verschiedene Betriebsnummern);BR 236;D;M;23;L;/;/;/;/;/;/;/;/
3647;BR 212.242-2;BR 212 242-2;D;M;20;L;/;/;/;/;/;/;/;/
36473;Oldtimer Dampflok Bauart Kessler Ep.I, 'Rhein' der SNB;RHEIN;S;M;24;L;/;/;/;K;/;/;/;/
3648;E 70.21;E 70 21;E;M;70;L;/;/;/;/;/;/;/;/
3649;EMD F7 Diesellok;F7 EMD;D;M;7;L;/;/;/;/;/;/;/;/
3650;Ae 6/6;AE 6/6 11445;E;M;66;L;/;/;/;/;/;/;/;/
36500;DHG 500 Vopak, Ep.VI Diesellokomotive;Vopak 3;D;LP;72;L;/;/;/;K;/;/;/;/
36501;DHG 500, Nr.11, Privatbahn Ep.III, Henschel, hellblau, Diesellok;DHG 500 Nr. 11;D;LP;72;L;/;/;/;K;/;/;/;/
36502;DHG 500'Pril',Ep.VI Diesellok;DHG 500 Pril;D;D;72;L;/;/;/;K;/;/;/;/
36503;DHG 500 StartUp Club 2014 Henschel Diesellok;DHG 500 StartUp;D;LP;72;L;/;/;/;K;/;/;/;/
3652;Ce 6/8''' Krokodil SBB, 14.301;CE 6/8 14301;E;M;69;L;/;/;/;/;/;/;/;/
3653;BR 120 (verschiedene Betriebsnummern);BR 120;E;M;12;L;/;/;/;/;/;/;/;/
3654;BR 120.104-5;BR 120 104-5;E;M;14;L;/;/;/;/;/;/;/;/
3655;BR 111 133-5;BR 111 133-5;E;M;13;L;/;/;/;/;/;/;/;/
3656;Ce 6/8''', Krokodil 14.305;CE 6/8 14305;E;M;67;L;/;/;/;/;/;/;/;/
3657;BR 103.113-7;BR 103 113-7;E;M;10;L;/;/;/;/;/;/;/;/
3658;BR 103.115-2;BR 103 115-2;E;M;16;L;/;/;/;/;/;/;/;/
3660;BR 111.041-0;BR 111 041-0;E;M;17;L;/;/;/;/;/;/;/;/
36600;BR 185.2 (TRAXX) Railion DB Logistics;BR 185 2;E;LP;24;L;/;/;/;K;/;/;/;/
36601;BR 185.5 (TRAXX), BLS Cargo, Ep.V;BR 185 5 BLS;E;LP;24;L;/;/;/;K;/;/;/;/
36602;Reihe 241 HectorRail SJ, Ep.V, Elektrolokomotive;241.003 HECTOR;E;LP;24;L;/;/;/;K;/;/;/;/
36603;BR 185.2'Haribo',Ep.VI, Elektrolokomotive;Haribo;E;LP;24;L;/;/;/;K;/;/;/;/
36604;BR 185.6 Lokomotion-Gesellschaft Elektrolok;BR 185 666-5;E;LP;24;L;/;/;/;K;/;/;/;/
36605;BR 185.5 Crossrail, Ep.VI Elektrolok;BR 185 564-2;E;LP;24;L;/;/;/;K;/;/;/;/
36606;Serie 482, SBB Cargo, Ep.VI Elektrolok;Re 482 046-0;E;LP;24;L;/;/;/;K;/;/;/;/
36607;E 186 Railpool/SBB Cargo,Ep.VI;E 186 181-4;E;LP;24;L;/;/;/;K;/;/;/;/
36608;Serie 28, SNCB, Elektrolok, Ep.VI;S. 2803;E;LP;24;L;/;/;/;K;/;/;/;/
36610;Re 14 'green cargo', Schweden, Ep.VI, Elektrolok;Re 1429;E;LP;24;L;/;/;/;K;/;/;/;/
36611;Litra 119 'CargoNet', Norwegen, Ep.VI, Elektrolok;Litra 119 002;E;LP;24;L;/;/;/;K;/;/;/;/
36612;BR 146.2, ME 146, Metronom, Elektrolok;ME 146-18;E;LP;24;L;/;/;/;K;/;/;/;/
36614;BR 146.2 TRAXX,Ep.VI,MyWorld;BR 146 245-6;E;LP;24;L;/;/;/;K;/;/;/;/
36616;E 186 Euro Cargo Rail,Ep.VI,TRAXX;E 186 179-8;E;LP;24;L;/;/;/;K;/;/;/;/
3662;EMD F7 AT & SF;F7 ATSF;D;M;7;L;/;/;/;/;/;/;/;/
3663;EMD F7 (Alaska Railroad);F7 ALASKA;D;M;7;L;/;/;/;/;/;/;/;/
3664;BR 260.921-2;BR 260 921-2;D;M;26;H;/;/;/;/;/;/;/;/
3665;BR 260.417-1;BR 260 417-1;D;M;10;H;/;/;/;/;/;/;/;/
36650;BR 246 (TRAXX) Metronom;BR 246;D;LP;24;L;/;/;/;K;/;/;/;/
36651;BR 285 HVLE, Ep.VI Diesellokomotive;BR 285 HVLE;D;LP;24;L;/;/;/;K;/;/;/;/
3667;E 18/118 Set: metallic-Version;E 18 METALL;E;M;67;L;/;/;/;/;/;/;/;/
3667b;E 18/118 Set: Ep.IV;E 118 013-2;E;M;67;L;/;/;/;/;/;/;/;/
3670;Serie D 109;D 109;E;M;4;L;/;/;/;/;/;/;/;/
36700;DHG 700 DVM, ML 003, Ep.V/VI, Diesellokomotive;ML 003;D;LP;72;L;1;/;/;K;/;/;/;/
3671;ICE Experimental;ICE EXP;E;M;41;L;/;/;/;/;/;/;/;/
36711;BR 402 ICE 2 4-teilig(altes Farbschema);ICE 2;E;LP;2;L;/;D;B;K;/;/;/;/
36712;BR 402 ICE2 DB Ep.V Zugpackung;ICE 2;E;LP;24;L;/;D;B;K;/;/;/;/
3672;BR 212.258-8;BR 212 258-8;D;M;21;L;/;/;/;/;/;/;/;/
3674;BR 216.188-3;BR 216 127-1;D;M;20;L;/;/;/;/;/;/;/;/
36740;BR 74, DB, Ep.III Tenderlokomotive;BR 74 838;S;LP;78;L;/;/;/;K;/;/;/;/
36741;T 12 KPEV Tenderlokomotive;T 12;S;LP;78;L;/;/;/;K;/;/;/;/
36742;Serie 130 TB, SNCF Tenderlokomotive;S.130 TB 717;S;LP;78;L;/;/;/;K;/;/;/;/
36743;Serie 96, SNCB Tenderlokomotive;S.96 020;S;LP;78;L;/;/;/;K;/;/;/;/
36744;Serie 5906, NS, Ep.III Tenderlokomotive;5906 NS;S;LP;78;L;/;/;/;K;/;/;/;/
3675;V 160.010;V 160 010;D;M;20;L;/;/;/;/;/;/;/;/
3676;BR 628.2 VT;BR 628 2;D;M;62;L;/;/;/;/;/;/;/;/
3679;BR 216 Lollo Ep.IV;BR 216 005-9;D;M;22;L;/;/;/;/;/;/;/;/
36790;Reihe 2016, Hercules, Steierm.LB, Ep.V;2016 901-7;D;LP;24;L;/;/;/;K;/;/;/;/
36791;ER 20 Reihe 2016 Hercules EVB ™BB;ER 20 EVB;D;LP;24;L;/;/;/;K;/;/;/;/
36792;Reihe 2016 'Hercules' ™BB;RH 2016 ™BB;D;LP;24;L;/;/;/;K;/;/;/;/
36793;ER 20 'Polizei' Hercules;POLIZEI;D;LP;24;L;1;/;d;K;/;/;/;/
36794;ER 20 'MRCE' Diesellokomotive;ER 20 013;D;LP;24;L;/;/;/;K;/;/;/;/
3680;BR 323 (K÷f II);BR 323 K™F;D;M;59;L;/;/;/;/;/;/;/;/
36800;BR 323 K÷f II;BR 323 K™F;D;M;23;L;/;/;/;K;/;/;/;/
36801;Reihe X 150 ™BB;X 150 01;D;M;23;L;/;/;/;K;/;/;/;/
36802;Serie 1011 CFL K÷f;S. 1011 K™F;D;M;23;L;/;/;/;K;/;/;/;/
36803;Tm 34 Traktor 'Mandarinli' SOB;MANDARINLI;D;M;23;L;/;/;/;K;/;/;/;/
36804;BR 323 (K÷f II), 323.092-7;BR 323 092-7;D;M;23;L;/;/;/;K;/;/;/;/
36805;K÷f II Werkseisenb.SKW Trostberg;SKW K™F;D;M;23;L;/;/;/;K;/;/;/;/
36806;BR 213 FS Italia (K÷f II);BR 213 915;D;M;23;L;/;/;/;K;/;/;/;/
36807;K÷f YDE 18 110 SNCF;K™F YDE;D;LP;23;L;/;/;/;K;/;/;/;/
36809;V 121 K÷f II, MWB, Ep.V;V 121 MWB;D;LP;23;L;/;/;/;K;/;/;/;/
3681;BR 221.118-3;BR 221 118-3;D;M;22;L;/;/;/;/;/;/;/;/
3682;BR 221 107-6 (Version 1991);BR 221 107-6;D;M;21;L;/;/;/;/;/;/;/;/
36820;K÷f II 'Wiebe' Ep.V;K™F II WIEBE;D;LP;23;L;/;/;/;K;/;/;/;/
36821;K÷f II, d„n. DSB, Ep.IV;K™F II DSB;D;LP;23;L;/;/;/;K;/;/;/;/
36822;K÷f II, DRG, Ep.II;K™F II DRG;D;LP;23;L;/;/;/;K;/;/;/;/
36823;K÷f II, Sdzucker,  Ep.IV, I + S;SšDZUCKER;D;LP;23;L;/;/;/;K;/;/;/;/
36824;K÷f II Werkslok Autofab. Ep.IV;K™F II AUTO;D;LP;23;L;/;/;/;K;/;/;/;/
36825;K÷f II, RCT Royal Corps of Transport, Ep.IV, 4MFOR;K™F II RCT;D;LP;23;L;/;/;/;K;/;/;/;/
36826;BR 323, DB AG, Ep.V;BR 323 541-3;D;LP;23;L;/;/;/;K;/;/;/;/
3683;ET 194.11;ET 194 11;E;M;79;L;/;/;/;/;/;/;/;/
36831;BR 185 528-7, LTE, Ep.V;BR 185 528 LTE;E;LP;24;L;/;/;/;K;/;/;/;/
36832;BR 185.5 MRCE;BR 185 MRCE;E;LP;24;L;/;/;/;K;/;/;/;/
36833;BR 185 TX Logistik;BR 185 TX;E;LP;24;L;/;/;/;K;/;/;/;/
36835;BR 146.1 DB AG;BR 146 1;E;LP;24;L;/;/;/;K;/;/;/;/
36836;BR 185 Railion DB Logistics;BR 185;E;LP;24;L;/;/;/;K;/;/;/;/
36837;'Superman', Lok-Doppelpackung;SUPERMAN;E;LP;24;L;/;/;/;K;/;/;/;/
36837b;'Lex Luthor', Superman Lok-Doppelpackung;LEX LUTHOR;D;LP;72;L;/;/;/;K;/;/;/;/
36838;BR 185 'Veolia';VEOLIA;E;LP;24;L;/;/;/;K;/;/;/;/
3684;BR 050.082-7;BR 050 082-7;S;M;5;L;/;/;/;/;/;/;/;/
36845;Reihe 2016 Hercules Diesellok ™BB;2016 ™BB;D;LP;24;L;/;/;/;K;/;/;/;/
36847;ER 20 'Looney Tunes' Diesellokomotive;TUNES;D;LP;24;L;/;/;/;K;/;/;/;/
36848;ER 20 'ALEX', Ep.V Diesellokomotive;ER 20 002 ALEX;D;LP;24;L;/;/;/;K;/;/;/;/
3685;PTT-Motorpost-Triebwagen;MOTORPOST;E;M;30;L;/;/;/;/;/;/;/;/
36850;BR 185 DB 'Cargo';BR 185;E;LP;24;L;/;/;/;K;/;/;/;/
36851;Serie 482 SBB 'Cargo';S. 482;E;LP;24;L;/;/;/;K;/;/;/;/
36852;Serie 485 BLS Bern-L÷tschberg-Simplon;S. 485 BLS;E;LP;24;L;/;/;/;K;/;/;/;/
36853;BR 185 CFL;BR 185 CFL;E;LP;24;L;/;/;/;K;/;/;/;/
36854;185-CL 009 Nr 222 RAG Ruhkohle AG;185 RAG;E;LP;24;L;/;/;/;K;/;/;/;/
36856;BR 185 099-9, DB AG, Ep.V;BR 185 099-9;E;LP;24;L;/;/;/;K;/;/;/;/
36857;BR 482 RAG (SBB) 4 Pantogr. Ep.V;BR 482 SBB RAG;E;LP;24;L;/;/;/;K;/;/;/;/
36858;BR 185 HOYER 2 Pantogr. Ep.V;BR 185 HOYER;E;LP;24;L;/;/;/;K;/;/;/;/
3686;PtL 2/2 Glaskasten, 4531;GLASKASTEN;S;M;76;L;/;/;/;/;/;/;/;/
36861;PtL 2/2, 451, Glaskasten;GLASKASTEN;S;M;36;L;/;/;/;K;/;/;/;/
3687;BR 98.308 Glaskasten;BR 98 308;S;M;77;L;/;/;/;/;/;/;/;/
36871;L„nderbahn Tenderlok KLVM, Ep.I;KLVM 2006;S;LP;78;/;/;/;/;K;/;/;/;/
3688;DHG 700 Henschel;DHG 700;D;M;70;L;/;/;/;/;/;/;/;/
36880;DHG 700, On Rail, Ep.V, Diesellokomotive;DHG ON RAIL;D;LP;72;L;1;/;/;K;/;/;/;/
3689;PTT-Motorpost-Triebwagen;MOTORPOST;E;M;30;L;/;/;/;/;/;/;/;/
36893;BR 185.1 RTS Rail Traction;RTS;E;LP;24;L;/;/;/;K;/;/;/;/
3690;BR 011.056-9;BR 011 056-9;S;M;1;L;/;/;/;/;/;/;/;/
3696;BR 86 (verschiedene Betriebsnummern);BR 86;S;M;8;H;/;/;/;/;/;/;/;/
3700;ICE-Triebwagen-Zug Amtrak USA;ICE USA;E;M;70;L;/;/;/;/;/;/;/;/
3701;BR 53.0002 Borsig;BR 53 0002;S;M;53;L;/;/;/;/;/;/;/;/
3702;BR 53.0001 Borsig;BR 53 0001;S;M;53;L;/;/;/;/;/;/;/;/
37021;BR 53.0003, Mallet-Gelenklok;BR 53 0003;S;M;53;L;F;R;/;K;/;/;/;/
3703;BR 78.031;BR 78 031;S;M;18;L;/;/;/;/;/;/;/;/
37030;BR 38.10-40, 38.2581;BR 38 2581;S;M;38;L;R;/;/;K;/;/;/;/
37032;BR 38.10-40, 38.2581;BR 38 3075;S;LP;38;L;R;/;/;K;/;/;/;/
3704;BR 80.030;BR 80 030;S;M;80;L;/;/;/;/;/;/;/;/
37050;BR 05.001, Stromlinie;BR 05 001;S;M;5;L;R;E;C;K;/;/;/;/
37056;BR 657/659 RH BB™/™BB;RH 659;S;M;59;L;R;/;/;K;/;/;/;/
37058;BR 59.038;BR 59 038;S;M;59;L;R;/;/;K;/;/;/;/
37059;W. Serie K der K.W.St.E., 1801;Wš. K;S;M;59;L;R;/;/;K;/;/;/;/
37060;Reihe EP 3/6 K.Bay.Sts.B, 20102;BAY. EP 3/6;E;M;36;L;R;/;/;K;/;/;/;/
37071;W. T 18 K.W.St.E.;Wš. T 18;S;M;18;L;/;/;/;/;/;/;/;/
37072;BR 78.494;BR 78 494;S;M;78;L;/;/;/;K;/;/;/;/
37073;BR 78.100;BR 78 100;S;M;78;L;/;/;/;K;/;/;/;/
37080;BR 10.001;BR 10 001;S;M;10;L;R;1;C;E;/;/;/;/
37081;BR 10, Sonderausfhrung;BR 10;S;M;10;L;R;1;C;E;/;/;/;/
37082;BR 10, Krauss-Maffei Design-Ausfhrung;BR 10;S;M;10;L;R;1;C;E;/;/;/;/
3709;BR 85.007;BR 85 007;S;M;8;H;/;/;/;/;/;/;/;/
37090;CargoSprinter BR Sggoorrss 700;CARGO;D;M;70;L;/;/;/;K;/;/;/;/
37091;CargoSprinter, Spedition;CARGO;D;M;70;L;/;/;/;K;/;/;/;/
37095;BR 85.006;BR 85 006;S;M;8;L;R;/;/;K;/;/;/;/
3710;BR 012.063-4;BR 012 063-4;S;M;1;L;/;/;/;/;/;/;/;/
37101;BR 01 UEF;BR 01 1066;S;M;1;L;/;/;/;/;/;/;/;/
37102;BR 01.1087;BR 01 1087;S;M;11;L;R;G;C;K;/;/;/;/
3711;BR 18.1;BR 18 128;S;M;18;L;/;/;/;/;/;/;/;/
37112;BR 18.137;BR 18 137;S;M;18;L;/;/;/;/;/;/;/;/
37113;W. Reihe C der K.W.St.E.;Wš. C;S;M;18;L;/;/;/;/;/;/;/;/
37131;Eb 3/5 SBB, 5818 ('Habersack');EB 3/5;S;M;35;L;/;/;/;K;/;/;/;/
37132;BR 75.073;BR 75 073;S;M;75;L;/;/;/;K;/;/;/;/
37134;Reihe S/Sa 939 Schwed. Staatsbahnen;SA 939;S;M;58;L;/;/;/;K;/;/;/;/
37135;Reihe D XII K.Bay.Sts.B.;BAY. D XII;S;M;73;L;/;/;/;K;/;/;/;/
3715;BR 52.3329;BR 52 3329;S;M;52;L;/;/;/;/;/;/;/;/
37155;BR 52, MHI;BR 52 MHI;S;M;52;L;/;/;/;/;/;/;/;/
37157;Serie 26 Belg.Staatsbahnen, 26033;S. 26;S;M;26;L;R;/;/;K;/;/;/;/
37159;TE-3915 Sowjet. Eisenbahnen CCCP;TE CCCP;S;M;52;L;/;/;/;/;/;/;/;/
37171;BR 52.1911;BR 52 1911;S;M;52;L;F;R;/;K;/;/;/;/
37172;Serie 27 SNCB, 27.003;S. 27;S;M;52;L;F;R;/;K;/;/;/;/
37181;S 3/6 K.Bay.Sts.B.;BAY. S 3/6;S;M;18;L;/;/;/;/;/;/;/;/
37182;S 3/6 K.Bay.Sts.B.;S 3/6 TOUR;S;M;18;L;/;/;/;/;/;/;/;/
37184;BR 18.427;BR 18 427;S;M;18;L;R;G;C;K;/;/;/;/
37185;S 3/6 K.Bay.Sts.B.;BAY. S 3/6;S;M;18;L;/;/;/;/;/;/;/;/
37186;S 3/6 K.Bay.Sts.B.;S 3/6 2000;S;M;18;L;R;G;C;K;/;/;/;/
37187;S 3/6 3651, Dampflok-Doppelpackung;S 3/6 3651;S;LP;36;L;R;/;/;K;/;/;/;/
37187b;BR 18 473, Dampflok-Doppelpackung;BR 18 473;S;LP;18;L;R;/;/;K;/;/;/;/
37190;BR 17.007;BR 17 007;S;M;17;L;/;/;/;/;/;/;/;/
37192;BR 17.126;BR 17 126;S;M;17;L;/;/;/;K;/;/;/;/
3720;V 32.01;V 3201;D;M;32;L;/;/;/;/;/;/;/;/
37201;V 3201;V 3201;D;M;32;L;/;/;/;K;/;/;/;/
37203;V 120 (V 3201) DRG, Dreifachpackung;V 120;D;M;32;L;/ ;/ ;/ ;K;/;/;/;/
37203b;V 140 (V16) DRG, Dreifachpackung;V 140;D;M;14;L;/ ;/ ;/ ;K;/;/;/;/
37203c;V 188 (D 311) DRG, Dreifachpackung;V 188;D;M;18;L;1;2;F;K;/;/;/;/
37210;V 140.001;V 140 001;D;M;14;L;/;/;/;/;/;/;/;/
3722;E 94 DB;E 94 279;E;M;19;L;/;/;/;/;/;/;/;/
37225;E 94 Ep.III, E-Lok Doppelpackung;BR E 94 145 DB;E;LP;19;L;/;/;/;K;/;/;/;/
37225b;BR 194 Ep.IV, E-Lok Doppelpackung;BR 194 161-6 DB;E;LP;19;L;/;/;/;K;/;/;/;/
37231;Serie 122 (22) Belg.Staatsbahn;S. 122;E;M;22;L;2;D;D;K;/;/;/;/
37232;Serie 22 Belg.Staatsbahnen;S. 22;E;M;22;L;2;D;D;K;/;/;/;/
37233;Serie 23 Belg.Staatsbahnen;S. 23;E;M;22;L;2;D;D;K;/;/;/;/
37240;Gruppe E 424 italien. FS;E 424;E;M;24;L;/;/;/;K;/;/;/;/
37241;Serie 1100 niederl. NS, 1144;S. 1100;E;M;11;L;/;/;/;K;/;/;/;/
37242;E 424 FS Italia;E 424;E;M;24;L;/;/;/;K;/;/;/;/
37250;Werkseisenbahn Rangierlok SPEICHER;SPEICHER;S;M;4;L;/;/;/;K;/;/;/;/
37251;Dampfspeicherlok 'GKM' Gro˜kraftwerk Mannheim;GKM;S;M;4;L;/;/;/;K;/;/;/;/
37254;Serie 422 200 SNCF, 422365;BB 422365;E;M;42;L;/;D;D;K;/;/;/;/
37255;Serie 422 200 SNCF;BB 422200;E;M;42;L;/;D;/;K;/;/;/;/
37261;Serie 1700 niederl. NS;S. 1700;E;M;17;L;/;D;D;K;/;/;/;/
37262;Serie 1600 niederl. NS, 1637;S. 1600;E;M;17;L;/;D;D;K;/;/;/;/
37263;Serie 1800 niederl. NS, 1855;S. 1800;E;M;17;L;/;D;D;K;/;/;/;/
37265;ET 87;ET 87;E;M;32;L;1;/;/;K;/;/;/;/
37270;Serie 201 SNCB;S. 201;D;LP;59;L;/;/;C;K;/;/;/;/
37282;V 188.001;V 188 001;D;M;18;L;E;/;D;K;/;/;/;/
37284;BR 288.002-9a + 288.002-9b;BR 288 002-9;D;M;18;L;E;/;D;K;/;/;/;/
37291;E 91.99;E 91 99;E;M;20;L;/;/;/;/;/;/;/;/
37292;EG 5 BR 91 Sonderversion;EG 5 22521;E;M;20;L;/;/;/;/;/;/;/;/
37302;Serie 446 der SOB;RE 446;E;M;46;L;/;/;/;/;/;/;/;/
37303;Serie 446 der SOB;RE 446;E;M;46;L;/;/;/;/;/;/;/;/
37310;BR 184 (E 410);BR 184 002-4;E;M;41;L;/;/;/;/;/;/;/;/
37311;BR 184 (E 410);BR 184 003-2;E;M;41;L;/;/;/;/;/;/;/;/
37315;BR 111.158-2;BR 111 158-2;E;M;11;L;/;/;/;/;/;/;/;/
37316;BR 111 ;BR 111 197-0;E;LP;11;L;/;/;D;K;/;/;/;/
37330;BB 12 000 SNCF, BB 12068;BB 12068;E;M;12;L;2;/;/;K;/;/;/;/
37331;Serie 3600 CFL;S. 3600;E;M;36;L;2;/;/;K;/;/;/;/
37332;BB 12000 SNCF;BB 12000;E;M;12;L;2;/;/;K;/;/;/;/
37333;Serie 3600, CFL, Ep IV;S. 3609;E;LP;36;L;1;/;/;K;/;/;/;/
37334;Serie 3600, rot, CFL, Ep.IV Elektrolokomotive;S.3602 CFL;E;LP;36;L;1;/;/;K;/;/;/;/
37335;BB 12000, SNCF Elektrolokomotive;BB 12061 SNCF;E;LP;12;L;1;/;/;K;/;/;/;/
3734;Re 4/4'' SBB, 11162;RE 4/4 II 11162;E;M;44;L;/;/;/;/;/;/;/;/
37341;Re 4/4'' SBB, 11294;RE 4/4 II 11294;E;M;44;L;/;/;/;/;/;/;/;/
37343;Re 4/4'' SBB TEE;RE 4/4 II TEE;E;M;44;L;/;A;F;K;/;/;/;/
37344;Re 4/4'' SBB, 11252;RE 4/4 II 11252;E;M;44;L;/;A;F;K;/;/;/;/
37345;Serie 421.397-1 SBB Cargo;421 397-1;E;M;44;L;/;A;F;K;/;/;/;/
37350;BR 152.002-2;BR 152 002-2;E;M;52;L;/;A;D;F;/;/;/;/
37352;BR 152 MUSEUM;BR 152 MUSEUM;E;M;52;L;/;A;D;F;/;/;/;/
37353;BR 152.073-3;BR 152 073-3;E;M;52;L;/;A;D;F;/;/;/;/
3736;Ae 6/6 SBB, 11417;AE 6/6 11417;E;M;66;L;/;/;/;/;/;/;/;/
37364;V 36 d„n. DSB, Ep.III;DSB 1;D;M;36;L;/;/;/;K;/;/;/;/
37365;V 36.110;V 36 110;D;M;36;L;/;/;/;K;/;/;/;/
37366;Ae 6/6 SBB, 11428;AE 6/6 11428;E;M;66;L;/;2;/;K;/;/;/;/
37367;V 36 POST PMS Rangierlok;V 36 POST;D;M;36;L;/;/;/;K;/;/;/;/
3737;Ae 6/6 SBB, 11437;AE 6/6 11437;E;M;65;L;/;/;/;/;/;/;/;/
37371;BR 101.003-2;BR 101 003-2;E;M;1;L;/;A;F;K;/;/;/;/
37372;BR 101.001-6;BR 101 001-6;E;M;1;L;/;/;/;/;/;/;/;/
37373;BR 101.001-6;BR 101 001-6;E;M;1;L;/;A;F;K;/;/;/;/
37374;BR 101.008-1;BR 101 008-1;E;M;1;L;/;A;F;K;/;/;/;/
37375;BR 101.068-5;BR 101 068-5;E;M;1;L;/;A;F;K;/;/;/;/
37376;BR 101.096-6;BR 101 096-6;E;M;1;L;/;A;F;K;/;/;/;/
37377;BR 101.099-0;BR 101 099-0;E;M;1;L;/;A;F;K;/;/;/;/
37378;BR 101.066-9;BR 101 066-9;E;M;1;L;/;A;F;K;/;/;/;/
37379;BR 101.029-7;BR 101 029-7;E;M;1;L;/;A;F;K;/;/;/;/
3738;BR 128.001-5, AEG Prototyp 12X;BR 128 001-5;E;M;12;L;/;/;/;/;/;/;/;/
37382;BR 128.001-5 AEG Prototyp 12X;BR 128 001-5;E;M;12;L;/;A;F;K;/;/;/;/
37383;BR 128.001-5 ADtranz Prototyp 12X;BR 128 001-5;E;M;12;L;/;A;F;K;/;/;/;/
37385;BR 101 SYSTEMS;SYSTEMS;E;M;1;L;/;A;F;K;/;/;/;/
37386;BR 101 200-4;BR 101 200-4;E;LP;1;L;/;A;F;K;/;/;/;/
37387;BR 101 SYSTEMS;SYSTEMS;E;M;1;L;/;A;F;K;/;/;/;/
37389;Serie BB 26000;BB 26000;E;LP;26;L;/;/;D;K;/;/;/;/
3739;Ae 6/6 SBB, 11.426 Stadt Zrich;AE 6/6 11426;E;M;65;L;/;/;/;/;/;/;/;/
37391;BR 101.014-9;BR 101 014-9;E;M;1;L;/;A;F;K;/;/;/;/
37392;BR 101.089-1;BR 101 089-1;E;M;1;L;/;A;F;K;/;/;/;/
37393;BR 101.078-4;BR 101 078-4;E;M;1;L;/;A;F;K;/;/;/;/
37394;BR 101.072-7;BR 101 072-7;E;M;1;L;/;A;F;K;/;/;/;/
37395;BR 101.078-4;BR 101 078-4;E;M;1;L;/;A;F;K;/;/;/;/
37396;BR 101.039-6;BR 101 039-6;E;M;1;L;/;A;F;K;/;/;/;/
37397;BR 101.047-9;BR 101 047-9;E;LP;1;L;/;A;F;K;/;/;/;/
3740;BR 110.155-9;BR 110 155-9;E;M;11;L;/;/;/;/;/;/;/;/
37401;BR 140.288-2;BR 140 288-2;E;M;40;L;/;/;/;K;/;/;/;/
37412;Reihe Rc 2 schwed. SJ, 1083;RC 2 1083;E;M;10;L;/;/;/;K;/;/;/;/
37413;Rm/Rc 1257 schwed. SJ Ep.IV;RM 1257;E;LP;12;L;/;/;/;K;/;/;/;/
