
16:10:30.197982 can0  RX - -  1C00007E   [0] 
16:10:43.240738 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:43.498464 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:43.517451 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:43.774468 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:43.787915 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:44.042466 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:44.061895 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:44.318473 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:44.329920 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:44.586473 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:44.590921 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:44.846476 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:44.858111 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:45.117228 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:45.130485 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:45.386485 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:45.393958 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:45.650485 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:45.663054 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:45.918489 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:45.929464 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:46.186491 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:46.196166 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:46.450496 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:46.453314 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:46.710498 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:46.728103 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:46.982501 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:46.995002 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:47.250507 can0  RX - E  0C000783   [4]  00 00 00 02
16:10:47.256685 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:47.517219 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:47.529539 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:47.786509 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:47.792771 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:48.050514 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:48.066445 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:48.322515 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:48.335316 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:48.590522 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:48.605261 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:48.862521 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:48.869815 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:49.126526 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:49.139324 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:49.394533 can0  RX - E  0C000783   [4]  00 00 00 02
16:10:49.408880 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:49.666532 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:49.675262 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:49.930534 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:49.949357 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:50.206540 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:50.217495 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:50.474539 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:50.484042 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:50.738545 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:50.753798 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:51.010548 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:51.021743 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:51.278551 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:51.291656 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:51.546552 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:51.557349 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:51.817215 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:51.823340 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:52.078562 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:52.091079 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:52.346564 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:52.362282 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:52.618567 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:52.633792 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:52.890572 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:52.902433 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:53.158570 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:53.177977 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:53.434583 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:53.445582 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:53.702580 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:53.705353 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:53.962582 can0  RX - E  0C000783   [4]  00 00 00 02
16:10:53.975225 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:54.230585 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:54.246068 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:54.502588 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:54.506599 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:54.762595 can0  RX - E  0C000783   [4]  00 00 00 02
16:10:54.781425 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:55.038595 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:55.044752 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:55.302598 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:55.309753 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00

16:10:55.373520 can0  RX - -  1C00007E   [0] 
16:10:55.390575 can0  TX - -  1C0004FE   [8]  00 00 00 00 00 00 00 01
16:10:55.393593 can0  RX - -  1C04847E   [0] 
16:10:55.401446 can0  TX - -  1C0484FE   [8]  00 00 00 00 00 00 00 00
16:10:55.405518 can0  RX - E  1E39047E   [0] 
16:10:55.412306 can0  TX - -  1E3904FE   [8]  00 00 00 00 00 00 00 00
16:10:55.417518 can0  RX - E  1F71847E   [0] 
16:10:55.423175 can0  TX - -  1F7184FE   [8]  00 00 00 00 00 00 00 00
16:10:55.426198 can0  RX - -  1C02047E   [8]  00 01 8E DC 00 02 00 03
16:10:55.426875 can0  RX - -  1C02847E   [8]  00 00 00 97 01 00 40 10
16:10:55.427389 can0  RX - -  1C03047E   [8]  01 00 00 2F 00 00 40 10
16:10:55.427964 can0  RX - -  1C03847E   [8]  00 00 40 10 01 08 00 10
16:10:55.483942 can0  TX - -  1C0384FE   [8]  00 01 8E DC 00 02 85 00
16:10:55.489685 can0  RX - -  18000A05   [2]  40 05
16:10:55.504259 can0  TX - -  18000A04   [8]  40 05 00 00 00 08 00 01
16:10:55.509682 can0  RX - -  18000985   [2]  03 00
16:10:55.523773 can0  TX - -  18002084   [4]  02 00 00 00
16:10:55.526170 can0  RX - -  18002085   [8]  02 00 00 00 4D 4F 42 49
16:10:55.526712 can0  TX - -  18000984   [8]  03 00 00 00 00 03 00 01
16:10:55.529704 can0  RX - -  18000D05   [2]  01 01
16:10:55.543872 can0  TX - -  18002084   [4]  02 00 00 04
16:10:55.546165 can0  RX - E  18002085   [8]  02 00 00 04 4C 45 20 53
16:10:55.546756 can0  TX - -  18000D04   [3]  01 01 01
16:10:55.549699 can0  RX - E  18000D05   [2]  01 00
16:10:55.563910 can0  TX - -  18002084   [4]  02 00 00 08
16:10:55.566168 can0  RX B E  18002085   [8]  02 00 00 08 54 41 54 49

16:10:55.566708 can0  RX B E  0C000783   [4]  00 00 00 02

16:10:55.567125 can0  TX - -  18000D04   [3]  01 00 00
16:10:55.569718 can0  RX B -  18000D05   [2]  02 01
16:10:55.583997 can0  TX - -  18002084   [4]  02 00 00 0C
16:10:55.586106 can0  RX B E  18002085   [7]  02 00 00 0C 4F 4E 00

16:10:55.586509 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00

16:10:55.593754 can0  TX - -  18000D04   [3]  02 01 02
16:10:55.597710 can0  RX - E  18000D05   [2]  02 00
16:10:55.617415 can0  TX - -  18000D04   [3]  02 00 00
16:10:55.621700 can0  RX - -  18000D05   [2]  03 01
16:10:55.634707 can0  TX - -  18000D04   [3]  03 01 04
16:10:55.637698 can0  RX - E  18000D05   [2]  03 00
16:10:55.654757 can0  TX - -  18000D04   [3]  03 00 00
16:10:55.657698 can0  RX - E  18000D05   [2]  04 01
16:10:55.665749 can0  TX - -  18000D04   [2]  04 01
16:10:55.669856 can0  RX - -  18000985   [4]  80 02 00 00
16:10:55.685994 can0  TX - -  18000984   [8]  80 02 00 00 00 09 00 01
16:10:55.690413 can0  RX - E  18000985   [4]  80 02 00 09
16:10:55.690941 can0  RX - E  18002485   [4]  40 03 00 00
16:10:55.706013 can0  TX - -  18000984   [4]  80 02 00 09
16:10:55.709869 can0  RX - E  18000985   [4]  81 02 00 00
16:10:55.717536 can0  TX - -  18002484   [6]  40 03 00 00 00 02
16:10:55.721874 can0  RX - -  18002485   [4]  40 01 00 00
16:10:55.726044 can0  TX - -  18000984   [4]  81 02 00 00
16:10:55.729856 can0  RX - E  18000985   [4]  82 02 00 00
16:10:55.736019 can0  TX - -  18002484   [8]  40 01 00 00 00 0D 00 00
16:10:55.741881 can0  RX - -  18002485   [4]  40 01 01 00
16:10:55.746082 can0  TX - -  18000984   [4]  82 02 00 00
16:10:55.755837 can0  TX - -  18002484   [8]  40 01 01 00 00 05 00 00
16:10:55.765682 can0  RX - E  18002505   [2]  01 01
16:10:55.775836 can0  TX - -  18002504   [4]  01 01 01 01
16:10:55.777706 can0  RX - E  18002505   [2]  01 00
16:10:55.785804 can0  TX - -  18002504   [3]  01 00 00
16:10:55.789710 can0  RX - -  18002505   [2]  02 01
16:10:55.795744 can0  TX - -  18002504   [4]  02 01 02 01
16:10:55.798189 can0  RX - -  18002505   [2]  02 00
16:10:55.805839 can0  TX - -  18002504   [3]  02 00 00
16:10:55.809717 can0  RX - -  18002505   [2]  03 01
16:10:55.817452 can0  TX - -  18002504   [4]  03 01 02 06
16:10:55.822196 can0  RX - E  18002505   [2]  03 00
16:10:55.825965 can0  TX - -  18002504   [3]  03 00 00
16:10:55.829717 can0  RX - -  18002505   [2]  04 01
16:10:55.835603 can0  TX - -  18002504   [4]  04 01 02 06
16:10:55.838208 can0  RX - -  18002505   [2]  04 00

16:10:55.842622 can0  RX B E  0C000783   [4]  00 00 00 02

16:10:55.846501 can0  TX - -  18002504   [3]  04 00 00
